path,category,symbol,status,evidence_note
apps/api/src/ops/ops.service.ts,api_service,OpsService,FULL,"500+ lines; triggerFullBackup, triggerTenantExport, triggerRestoreDryRun, triggerRestoreRun, triggerHealthcheck, CRUD for schedules and storage targets"
apps/api/src/ops/ops.controller.ts,api_controller,OpsController,FULL,"17 routes; JwtAuthGuard + PermissionsGuard on all; @RequirePermissions per endpoint"
apps/api/src/ops/ops.module.ts,module,OpsModule,FULL,"Imports PrismaModule, AuditModule; exports OpsService; registered in app.module.ts line 55"
apps/api/src/app.module.ts,module_wiring,OpsModule import,FULL,"Line 27: import; line 55: in @Module imports array"
apps/api/src/ops/__tests__/ops.service.spec.ts,tests,OpsService spec,PARTIAL,"Mock-only; covers trigger methods and confirmation; no artifact creation or filesystem verification"
apps/worker/src/ops-backup.processor.ts,worker_processor,processOpsBackup,PARTIAL,"Full job dispatch logic for all 5 types; calls spawnSync('bash' script) which requires host path + docker CLI; container lacks both"
apps/worker/src/main.ts,worker_bootstrap,opsBackupWorker,FULL,"Line 64: new Worker('ops-backup', ...) with processOpsBackup; concurrency=1; completed/failed event handlers"
apps/worker/Dockerfile,container,—,MISSING,"node:20-alpine; no docker CLI; no bash package installed; no pg_dump; no ops/ scripts; no runtime/ mount"
apps/api/prisma/schema.prisma,db_schema,OpsBackupRun,FULL,"Lines 1008-1035; all fields present: type, status, tenantId, artifactPath, checksumSha256, logPath, correlationId"
apps/api/prisma/schema.prisma,db_schema,OpsSchedule,FULL,"Lines 1039-1053; cronExpression, retentionDays, isEnabled — no executor wired"
apps/api/prisma/schema.prisma,db_schema,OpsStorageTarget,FULL,"Lines 990-1004; type, name, configJson, isEnabled"
apps/api/prisma/schema.prisma,db_schema,OpsScheduleTarget,FULL,"Lines 1057-1065; join table for schedules <-> storage targets"
apps/api/prisma/migrations/20260303220000_add_ops_backup_tables/migration.sql,migration,—,FULL,"Creates all 4 ops tables; UNIQUE index on correlationId (risk); performance indexes on type+status+createdAt"
apps/api/src/rbac/permissions.ts,permissions,OPS_VIEW/OPS_RUN_BACKUP/OPS_EXPORT_TENANT/OPS_CONFIGURE_SCHEDULES/OPS_CONFIGURE_STORAGE/OPS_RESTORE,PARTIAL,"All 6 permissions defined (lines 76-81); NONE seeded to any role in seed.ts"
apps/admin/src/app/(protected)/ops/page.tsx,admin_ui,OpsDashboardPage,FULL,"Uses getApiClient(getToken()); calls GET /ops/dashboard and POST /ops/backups/full:run via SDK"
apps/admin/src/app/(protected)/ops/backups/page.tsx,admin_ui,BackupsPage,FULL,"SDK-compliant; GET /ops/runs with type filter"
apps/admin/src/app/(protected)/ops/backups/new/page.tsx,admin_ui,NewBackupPage,FULL,"SDK-compliant; POST /ops/backups/full:run"
apps/admin/src/app/(protected)/ops/restore/page.tsx,admin_ui,RestorePage,FULL,"SDK-compliant; 3-step flow: select run -> dry run -> confirm phrase -> apply"
apps/admin/src/app/(protected)/ops/tenants/page.tsx,admin_ui,TenantsExportPage,FULL,"SDK-compliant; POST /ops/backups/tenant:export"
apps/admin/src/app/(protected)/ops/schedules/page.tsx,admin_ui,SchedulesPage,FULL,"SDK-compliant; CRUD for OpsSchedule; schedules stored but never executed (no cron engine)"
apps/admin/src/app/(protected)/ops/storage/page.tsx,admin_ui,StorageTargetsPage,FULL,"SDK-compliant; CRUD for OpsStorageTarget; S3 type listed but processor has no S3 upload code"
apps/admin/src/app/(protected)/ops/logs/page.tsx,admin_ui,LogsPage,FULL,"SDK-compliant; GET /ops/runs/{id}/logs"
packages/contracts/openapi.yaml,contract,/ops/* (17 paths),FULL,"All 17 ops paths present; request/response schemas defined"
packages/sdk/src/generated/api.d.ts,sdk,/ops/* typed paths,FULL,"All ops paths typed; regenerated from contract"
ops/backup_full.sh,shell_script,—,PARTIAL,"Works on host; hardcodes VEXEL_ROOT=/home/munaim/srv/apps/vexel; uses docker exec for pg_dump and MinIO volume backup"
ops/backup_tenant.sh,shell_script,—,PARTIAL,"Works on host; validates tenantId with regex; 35 tenant-scoped tables exported as CSV; tenantId interpolated into SQL string (not parameterized)"
ops/restore_full.sh,shell_script,—,PARTIAL+RISK,"Works on host; DROP DATABASE then pg_restore; --confirm flag bypasses interactive prompt; no env/production guard"
ops/healthcheck.sh,shell_script,—,PARTIAL,"Works on host; checks 8 containers + 7 internal ports + 3 public HTTPS endpoints"
ops/README.md,documentation,—,FULL,"Usage guide for all 4 scripts"
docs/ops/BACKUP_POSTURE.md,documentation,—,FULL,"Backup strategy and schedule guidance"
docs/ops/DISASTER_RECOVERY.md,documentation,—,FULL,"DR runbook"
docs/ops/BACKUPS_UI.md,documentation,—,FULL,"Admin UI usage guide"
docker-compose.yml,infrastructure,worker service,MISSING,"No docker socket mount; no runtime/ bind mount; no VEXEL_ROOT/VEXEL_RUNTIME_DIR env; no volumes for api or worker"
